,Business Programs,Men's Soccer,Women's Soccer,Men's Track,Women's Track,Close to Big City?,Apartment 1,Apartment 2,Apartment 3,Apartment 4
Brooklyn College,"Business Economics, Leadership and Human Resource Management, Business Management, Marketing, Information Systems, Public Accounting",Y,Y,(cross country),(cross country),New York City,"1277 E 14th St, Brooklyn, NY 11230","1287 Sterling Pl, Brooklyn, NY 11213","2828 Kings Hwy, Brooklyn, NY 11229","222 E 27th St, Brooklyn, NY 11210"
College of Mount Saint Vincent,"Accounting, Business Administration, Economics",Y,Y,(cross country),(cross country),New York City,"20 Water Grant St, Yonkers, NY","55 Main Street, Yonkers, NY 10701","1 Alexander St., Yonkers, NY 10701","79 Alexander Street, Yonkers, NY 10701"
"College of Staten Island, CUNY","Accounting & Finance, Business Management, Marketing",Y,Y,Y,Y,New York City,"75 Darcey Ave, Staten Island, NY 10314","30 Amsterdam Ave, Staten Island, NY 10314",,
Lehman College,"Accounting, Business Administration, Economics",Y,Y,Y,Y,New York City,"5959 Broadway, Bronx, NY 10463","28 Bedford Park Blvd The Bronx, NY 10468","2775 Morris Ave The Bronx, NY 10468","2825 Grand Concourse The Bronx, NY 10468"
Manhattanville College,"Accounting, Business Management, Economics, Entrepreneurship, Finance, Human Resources Management, Data Analytics, Marketing, Sports Management",Y,Y,Y,Y,New York City,"6 Cottage Pl, White Plains, NY 10601","250 W Post Rd, White Plains, NY 10606","36 Oakwood Ave, White Plains, NY 10605","45 King St, Port Chester, NY 10573"
Medgar Evers College CUNY,"Accounting, Business Administration, Economics and Finance, Computer Information Systems",Y,Y,(cross country),(cross country),New York City,"100 Willoughby Street, Brooklyn, NY 11201","34 Berry St, Brooklyn, NY 11249","35 East 7th Street, New York, NY 10007","1201 Avenue K, Brooklyn, NY 11230"
St. Joseph's College (Brooklyn),"Business Administration, Human Resources, Marketing, Organizational Management",Y,Y,(cross country),(cross country),New York City,"269 Vanderbilt Ave Brooklyn, NY 11205","90 Clermont Ave Brooklyn, NY 11205","166 Washington Ave Brooklyn, NY 11205","366 Clermont Ave Brooklyn, NY 11238"
St. Joseph's College (Long Island),"Business Administration, Human Resources, Marketing, Organizational Management",Y,Y,(cross country),(cross country),New York City,"99 Waverly Ave, Patchogue, NY 11772","20 Spruce Dr, Holbrook, NY 11741","33 Midship Ln, Patchogue, NY 11772","99 13th Ave Holtsville, NY 11742"
SUNY College at Old Westbury,"Accounting, Business Administration, Finance, Marketing",Y,Y,(cross country),(cross country),New York City,"365 Stewart Avenue, Garden City, NY 11530","110 Westwood Drive, Westbury, NY 11590","290 North Broadway, Hicksville, NY 11801","400 East Old Country Road, Mineola, NY 11501"
The City College of New York,"Business Administration and Management, Finance, Economics",Y,Y,(cross country),(cross country),New York City,"235 W 136th St New York, NY 10030","312 W 133rd St, New York, NY 10027","2490 Frederick Douglass Blvd New York, NY 10030","610 St Nicholas Ave New York, NY 10030"
Yeshiva University,"Accounting, Finance, Marketing",Y,Y,Y,Y,New York City,"350 Audubon Ave New York, NY 10033","501 W 189th St New York, NY 10040","600 W 187th St New York, NY 10033","600 W 187th St New York, NY 10033"
York College CUNY,"Business Administration, Information Systems Management, Marketing, Economics",Y,Y,Y,Y,New York City,"88-25 153rd St, Jamaica, NY 11432","88-25 148 Street, Jamaica, NY 11432","7525 210 street, Bayside, NY 11364","67-30 Clyde Street, Forest Hills, NY 11375"
Arcadia University,"Finance, Business Management, Marketing, Economics",Y,Y,Y,Y,Philadelphia,"1600 Church Rd Wyncote, PA 19095","8440 Limekiln Pike, Wyncote, PA 19095","1651 E Mt Airy Ave, Philadelphia, PA 19150","40 W Mt. Carmel Ave, Glenside, PA 19038"
Bryn Athyn College,"Marketing Management, Logistics and Finance Management, Sports Management",Y,Y,(cross country),(cross country),Philadelphia,"200 Meadowbrook Drive, Huntingdon Valley, PA 19006","600 Red Lion Rd, Philadelphia, PA 19115","828 Red Lion Rd, Northeast Philadelphia, PA 19115","91 North York Rd, Willow Grove, PA 19090"
Cabrini University,"Accounting, Business Management, Economics, Entrepreneurship, Finance, Human Resources Management, Data Analytics, Marketing, Sports Management",Y,Y,(cross country),(cross country),Philadelphia,"251 W Dekalb Pike, King Of Prussia, PA 19406","580 S Goddard Blvd, King Of Prussia, PA 19406","300 Avon Rd, Devon, PA 19333","301 Village Dr, King Of Prussia, PA 19406"
Carnegie Mellon University,"Computational Finance, Business Administration",Y,Y,Y,Y,Pittsburgh,"4629 Bayard St, Pittsburgh, PA 15213","3955 Bigelow Blvd, Pittsburgh, PA 15213","5522 Baum Blvd, Pittsburgh, PA 15232 ","475 Garner Ct, Pittsburgh, PA 15213"
Chatham University,"Accounting, Applied Data Science Analytics, Economics, Management, Management Information Systems, Marketing",Y,Y,Y,Y,Pittsburgh,"272 Shady Ave, Pittsburgh, PA 15206 ","5522 Baum Blvd, Pittsburgh, PA 15232","4629 Bayard St, Pittsburgh, PA 15213","3955 Bigelow Blvd, Pittsburgh, PA 15213"
Geneva College,"Accounting, Business Administration, Finance, Marketing, Business Management, Sport Management, Human Resource Management, Entrepreneurship",Y,Y,Y,Y,Pittsburgh,"1909 5th Ave, New Brighton, PA 15066","121 Sunnyhill Dr, Beaver Falls, PA 15010","200 Connolly Park, Beaver Falls, PA 15010","275 Braden School Road, Beaver Falls, PA 15010"
Immaculata University,"Accounting, Business Management, Finance, Human Resources Management, Marketing Management, Cybersecurity",Y,Y,(cross country),(cross country),Philadelphia,"201 Iron Lake Dr, Exton, PA 19341","1324 Phoenixville Pike, West Chester, PA 19380","1200 Charleston Grn, Malvern, PA 19355","1086 W King Rd, Malvern, PA 19355"
La Roche College,"Accounting, Finance, Management Information Systems, Business Management, Marketing",Y,Y,(cross country),(cross country),Pittsburgh,"700 Duncan Avenue, Pittsburgh, PA 15237","8900 Royal Manor Dr, Allison Park, PA 15101","9815 Presidential Drive, Allison Park, PA 15101","1050 Nineteen North Drive, Pittsburgh, PA 15237"
Neumann University,"Accounting, Finance, Human Resources, Computer Information Systems, Marketing, Sport and Entertainment Management",Y,Y,Y,Y,Philadelphia,"512 Coventry Ln, Glen Mills, PA 19342","50 S New Middletown Rd, Media, PA 19063","3701 Concord Rd, Aston, PA 19014","274 Glen Riddle Rd, Media, PA 19063"
Penn State Berks College,"Accounting, Business",Y,Y,(cross country),(cross country),Philadelphia,"601 South 19th Street, Reading, PA 19606","2222 Tulpehocken Road, Wyomissing, PA 19610","1536 Allegheny Avenue, Reading, PA 19601","355 Lackawanna Street, Reading, PA 19601"
"Penn State University, Abington","Accounting, Business, Finance, Project and Supply Chain Management",Y,Y,(cross country),(cross country),Philadelphia,"200 Meadowbrook Drive, Huntingdon Valley, PA 19006","91 North York Rd, Willow Grove, PA 19090","169 Greenwood Ave, Jenkintown, PA 19046","218 North Easton Road, Glenside, PA 19038"
Rosemont College,"Accounting, Finance, Marketing, Business Management, Sport Management",Y,Y,(cross country),(cross country),Philadelphia,"105 Charles Drive H1, Bryn Mawr, PA 19010","300 Avon Road, Devon, PA 19333","580 Lewis Rd, King of Prussia, PA 19406","111 Bill Smith Boulevard, King of Prussia, PA 19406"
Saint Vincent College,"Accounting, Business Data Analytics, Business Economics, Finance, Information Systems, Marketing, Business Management",Y,Y,(cross country),(cross country),Pittsburgh,"1007 Whitney Court Dr, Latrobe, PA 15650","219 Loyalhanna Ave Latrobe, PA 15650","2032 Lincoln Ave Latrobe, PA 15650","906 Walnut St Latrobe, PA 15650"
