City,Graduation Date,Work Experience 1,Work Experience 2,Work Experience 3,Skills,Athletics,Awards/Certifications,Extracurriculars 1,Extracurriculars 2,Volunteer Work,Member Groups
New York City,19-May,"Sales Associate
Banana Republic -  New York, NY
October 2018 to Present
Exceeded daily responsibilities that include supporting client's needs, managing financial transactions, and providing exceptional customer service","Digital Marketing Intern
Gen M Inc -  New York, NY
January 2018 to September 2019
• Completed online training programs in Marketing, Social Media Marketing, Content Marketing, Paid Advertising, Email Marketing and Google Analytics  
• Implemented knowledge of digital marketing to help entrepreneurs create a new business strategies, marketing campaigns, and client acquisition strategies","Business Development Intern
SCORE Mentors -  New York, NY
November 2017 to May 2018
• Assisted SCORE Mentors in analyzing business plans and creating business strategies for startup entrepreneurs and responsible for client follow ups and reviewing their progress reports  
• Handled inbound calls and request from potential clients seeking to be advised","MICROSOFT EXCEL, MICROSOFT POWERPOINT, MICROSOFT WORD, DETAIL ORIENTED, STRONG COMMUNICATION SKILLS, PROBLEM SOLVER, Pivot Tables, accounting, Financial Analysis, Budgeting",,,,,,
Pittsburgh,20-Apr,"Economics Tutor
University of Pittsburgh -  Pittsburgh, PA
January 2018 to Present
* Worked with student athletes to understand their potential weak areas in various economic courses including microeconomics, macroeconomics, and international economics  
* Provided one-on-one assistance to students to help strengthen their areas of weakness  
* Recorded weekly progress to ensure that students were improving their overall performance","Commercial Real Estate Intern - Integrated Portfolio Services
Jones Lang LaSalle -  Pittsburgh, PA
May 2019 to August 2019
* Performed financial analysis for property acquisition and lease renewal deals and modeled over 1.8 million square feet of CRE deals with a combined net value of over $750 million  
* Conducted market surveys utilizing CoStar to research local market trends and presented findings to senior management  
* Assisted with the creation of client presentations and reports, and provided general client support","Business Development Intern
Capitalise.ai -  Tel Aviv, Israel
June 2018 to August 2018
* Co-authored articles for company blog covering various topics such as cryptocurrency market trends and basic investment strategies to educate and engage user base  
* Assisted the marketing team with airdrop campaign by creating promotional content and blog posts which increased active users by 32%  
* Identified and developed strategic relationships with business partners and clients to promote the Capitalise platform","Bloomberg Terminal, Microsoft Office, Access, SPSS, Datacamp, R, Leadership Skills",,,,,,
Milwaukee,19-May,"Investment Project
September 2018 to December 2018
• Worked with a group on StockTrak investing in stocks, bonds, mutual funds, options, futures throughout the semester","Financial Modeling Project
September 2018 to December 2018
• Worked with a partner to analyze the financials of a company  
• Presented this information to the class and explained if the stock is overvalued or undervalued","Branch Resource Center Intern
Johnson Controls
June 2018 to August 2018
• Releasing invoices in a customer required format  
• Partner with JCI branches to review completed service work and customer account information on invoices  
• Release Service Request information to the accounting system for processing  
• Escalate questionable issues to appropriate JCI resources locally and nationally  
• Ensure pricing is within margin requirements or customer specific requirements  
• Follow up with JCI divisions and branches on invoice progression  
• Participated in month end close procedures and invoicing","Experienced in Microsoft Word, Excel, Access, SPSS, NxGen, Datacamp and R",,UW-La Crosse Dean's list,,,,
New York City,19-Dec,"Senior Human Resource Business Partner
Consolidated Edison of NY, New York -  New York, NY
2008 to Present
•Serve as a Strategic Business Partner to Senior Vice President, General Managers, Section Managers, and Supervisors as well as partnering with the Utility Workers Union of America AFL-CIO *Local 1-2, and employees with regards to the collective bargaining agreement.  
•Analyze and establish current and future projected staffing needs based upon organizational strategies and plans; reducing the post to hire process to 75 days.  
•Provide advice and counsel regarding employee relations, labor relations, contract interpretation, employee service programs, performance management, occupational health matters, environmental and safety compliance programs and EEO administration.  
• Deliver critical advice and counsel to management and employees. Investigate and resolve disputes, formal charges, or other situations related to job performance, behavior, change management, etc. Develop and implement best practices to achieve effective and consistent implementation of laws, regulations, and policies to produce positive employee relations and best practices.  
•Utilize our Learning and Development organization to continuously development projects, and management training programs for the identification of industry best practices. Contracting with outside consultants and vendors to deliver organizational and leadership programs which include traditional instructor led training, web casts, and e-Learning.  
• Initiate and complete comprehensive analysis and evaluation of current HR policies and practices. Identify and determine levels of risk and exposure to the business. Drive the creation and implementation of best-in-class HR policies, procedures, and practices designed to propel business results, support positive employee relations, facilitate organizational change, and standardize management practices.  
•Effective management partner who can quickly identify issues, resolve problems, as well as develop and implement plans to support significant organizational change at all levels.  
• Construct, implement, and manage total compensation strategies recognized for motivating and rewarding employee behaviors and deliverables that align with division and company (short and long-term) goals and objectives.","Human Resource Generalist
First Funds LLC -  New York, NY
2007 to 2008
Responsibility of all Human Resources related activities, including payroll, benefits, policy review, policy administration, and staff and management training. Implemented a time and attendance program to ensure accurate tracking of employee time and attendance and reduce overpayment of paid time off. Facilitate annual enrollment meetings. Manage employee relations and provide guidance on polices and procedures. Review performance appraisal and compensation proposals. Manage recruitment process, consulting with Managers to determine staffing needs and candidate qualifications. Facilitate monthly benefit orientations for new hire employees to provide knowledge about the prospective benefits plan. Train employees on investments opportunities, medical, short and long term disability, AD & D and voluntary life insurance plans. Reconcile all benefits bills, including online terminations and additions to company plans. Manage 401k upload to plan provider. Provide reporting information regarding turnover, hiring and retention, and for various initiatives.  
o Benefits Administration  
Manage employee benefit plans such as COBRA, FMLA, STD and, 401K. Handle workers compensation and disability correspondence Coordinate paperwork for all actions including new hires, departures and employee changes Update and maintain employee files/oversee HR supporting system. Responsible for all company benefits bill reconciliation and payment requests.  
  
o Payroll Administration  
Responsibilities include processing semi-monthly payroll, for 250 domestic and Canadian employees using ADP Pay eXpert and ADP  
Canada for both hourly and salaried staff. Process relocation expenses, wage garnishments, employee benefits deductions, 401k loan processing, new hire processing and all terminations. Responsible for monthly and quarterly reports such as headcounts, anniversary and salary increase reports.","Boar's head
Provisions -  Brooklyn, NY
2006 to 2007
Human Resource Coordinator  
Manage new-hire staffing process. Responsibilities include screening resumes, scheduling, and conducting initial interviews, preparing job-offer packages & rejection letters. Event Planning - planning of all company wide events; anniversary, birthday, retirements and annual events.  
Employee Relations (union shop) - ensure all HR policies are in compliance with state and federal employment laws. Lead investigations which included meeting with employees and the leadership team to resolve employee relations issues.","Employee & Labor Relations, Full Cycle Recruitment, Compensation, Regulatory Compliance, Succession Planning, Benefits Administration, Project Management, Performance Management PeopleSoft (payroll hris system), EPIC (hris system), ERecord (discipline system), Rand (recruitment system) Lotus 123, Lotus Notes, MS Office, ADP Payexpert system, Paychex payroll system, SAP R/3, Crystal Reports, FLX and internet friendly.",,,,,,
New York City,20-May,"Human Resources/Communications Intern
The Pension Boards-United Church of Christ, Inc. -  New York, NY
June 2019 to Present
• Created a social media campaign to educate employees and clients about open enrollment and new benefit offerings  
• Facilitated an article series regarding corporate social responsibility, corporate governance and shareholder activism to encourage goodwill among employees and stakeholders  
• Performed as an interdepartmental liaison to gather and calculate metrics to improve day to day operations","Direct Support Professional
Halo Network Inc -  Amityville, NY
August 2018 to Present
• Helping an autistic individual increase independence while working on habilitation plan goals  
• Responsible for assisting with daily tasks such as budgeting, planning, errands and socialization","Human Resources Intern
Qsac -  New York, NY
February 2019 to May 2019
• Screened candidates by performing background and reference checks daily to streamline hiring process  
• Communicated with over 50 potential candidates at career fairs monthly  
• Utilize Excel weekly to collate and present information on current, incoming, or past employees to improve hiring process","Word, Excel, PowerPoint, Adobe PhotoShop, Recruiting, Human Resources, Scheduling, Data Entry",,driver's license,,,,
New York City,19-Jun,"HR Generalist
BROOKLYN COMMUNITY SERVICES -  Brooklyn, NY
July 2017 to Present
Manage HR functions in accordance with overarching business strategies. Monitor payroll processing and benefits administration. Oversee operations to maintain adherence to ACA compliance. Conduct applicant screening procedures and maintain recruitment reporting and file management, as well as electronic time and attendance management.  
Key Accomplishments:  
• Simultaneously manage bi-weekly payroll through Ceridian Dayforce for Turning Point Brooklyn, Inc.","Human Resource/Payroll Manager
TURNING POINT BROOKLYN, INC -  Brooklyn, NY
November 2014 to June 2017
Administered all benefit plans including enrollments, changes, and terminations. Processed bi-weekly payroll through ADP Workforce Now for 150 employees, as well as all required documentation for payroll and insurance providers. Maintained accurate records and implementing accurate deductions in billing. Provided on boarding for new hires, including explanation of all benefits and policies and procedures; reviewed paperwork for completeness and accuracy. Verified I-9 documentation, as needed. Implemented background checks, finger printing, medical testing, and driving documentation for employees. Administered STD/FMLA leave processes, including providing employee with information on benefits. Managed termination through necessary systems and channels, as well as exit interviewing procedures. Evaluated employee performance to provide feedback for continuous improvement. Compiled all necessary documentation for the hiring process, including posting positions, verifying employment, and onboarding. Drafted and distributed all HR communications, including operating procedures and handbooks.  
Key Accomplishments:  
• Established and maintained electronic employee database as well as payroll systems.  
• Acted as point of contact for employees and supervisors on matters pertaining to HR.  
• Successfully coordinated multiple organization-wide events including Staff Development Day, Staff health Day, Staff Fun Day, and Quarterly Staff.","Administrative Coordinator/HR Assistant
ASTREA FOUNDATION -  New York, NY
August 2013 to November 2014
Facilitated operations for the Deputy Director and Human Resource Consultant. Provided benefits orientation enrollment, claims processing, and self-billing initiatives, as needed. Maintained all status reports and pay changes, as well as COBRA management. Collaborated with accounting department for accurate invoice reconciliation. Completed all paperwork and onboarding procedures. Recruited and hired various positions, providing training initiatives in accordance with job requirements. Managed correspondence, including sorting of incoming checks, donation checks, and logging information prior to deposit. Generated invoices for tenants, vendors, and contractors. Arranged for accurate and efficient mailing and postage. Established and cultivated relationships with vendors to maintain inventory levels, monitoring operations for timely and cost-effective completion. Managed daily office maintenance and operations, including IT and network operations, supplies, and maintenance.  
Key Accomplishments:  
• Created internal forms and procedures to optimize workflow and continuity of documentation.  
• Produced documentation needed for tax filings and submission to appropriate government bodies for regulatory compliance.  
• Identified, negotiated and contracted vendors to minimize costs through effective sourcing.","OPERATIONS, ADP,  ADMINISTRATIVE OPERATIONS, PROCESS IMPROVEMENT, PROJECT MANAGEMENT, MICROSOFT EXCEL, MICROSOFT POWERPOINT, MICROSOFT WORD",,,,,,
New York City,19-Sep,"Legal Assistant and Receptionist
Davidov Law Group -  New Hyde Park, NY
October 2019 to October 2019
Provide exceptional customer service while servicing clients, and providing support to the attorneys and paralegal. Answer phone, confirm appointments, update Microsoft Outlook Calendar for all employees as needed, scan and file documents, label folders and subfolders. (This firm specializes in Elder Law).","Teller Supervisor
HSBC Bank -  New York, NY
April 2010 to April 2015
Establish realistic sales goals for team members while collaborating with them to achieve  
their targets through coaching, training, and leadership  
● Oversee the department and provide coaching and training on customer service to achieve  
high levels of satisfaction and create positive experiences  
● Ensure that the team is in compliance at all times","Teller Banking Representative
PNC Bank -  Little Falls, NJ
July 2008 to 2010
Handle cash, maintain proper cash limits, and balance drawer  
● Follow bank policies and procedures and provide a high degree of accuracy to process  
various transactions in a timely manner  
● İncrease sales prospects through quality referrals","Microsoft Excel, Microsoft Word, Microsoft Outlook Calendar, Microsoft Office, Receptionist, Scheduling, training, Sales, Filing

",,,,,"•Two years of experience of learning and immersion in Human Resource Management:  
  
○ Strategic Human Resource Management (efficient planning and focus)  
○ Compensation & Benefıts (budgeting, reward management)  
○ Staffing (recruitment and selection)  
● Strong attention to detail; ability to interact with individuals inside and outside the  
organization  
● Performance Management of Employees  
● Compliance",
New York City,20-May,"Home Health Aide
Bushwick Stuyvesant Heights -  Brooklyn, NY
July 2010 to Present
• Maintain superior relationships with more than 40 clients  
• Provide outstanding services and support.  
• Perform personal care duties and assisted with daily activities.  
• Escort clients to medical and doctor's appointments.  
• Help clients with exercises as needed.","Administrative Intern
Henry Watts Real Estate Corporation -  Brooklyn, NY
March 2018 to May 2018
• Maintained records and running company's errands to post office and bank.  
• Answered clients inquire about services and redirect calls to appropriate staff members.  
• Provided research and background information on current and prospective clients.  
• Managed scheduled meetings and appointments for 10 clients weekly.",,"Proficient in Microsoft Word, Excel, PowerPoint. Social media knowledge: Facebook, Twitter and Instagram.",,,,,,
New York City,19-Dec,"Front Desk Clerk
Eclipse Medical Imaging -  Brooklyn, NY
September 2018 to February 2019
• Answered 100+ calls to appropriate party  
• Accurately 20-50 schedule patients' appointments.  
• Verified 20-50 patients' insurance and eligibility when necessary  
• Assisted technologist in translating for bilingual patients  
• Fax, scan, receive daily correspondence & distributed  
• Filled 30-50 patients' medical documentation and correspondence","Cashier
Dr. Jays Ladies -  Brooklyn, NY
August 2015 to September 2018
• Greeted, directed and assisted 100 customers when they enter the store  
• Performed other duties assigned by the management.  
• Accurately operated cash register to ensure customer satisfaction  
• Collected minimum $800 payments through cash and credit/debit cards  
• Actively assist customers by phone and in person","Cashier
Nathan Famous Restaurant -  Brooklyn, NY
August 2014 to August 2015
● Greeted 50-100 clients and answer questions regarding the menu  
● Took orders from customers and input in POS  
● Provided the customers with a pleasant dining experience and quality service  
● Collected minimum $2000 payments through cash and credit/debit cards  
● Assisted others in carrying out their part of preparing/serving meals.","Front Desk, Customer Service, Reception, Front Office, Guest Service, Time Management, Office Experience, Microsoft Office, Microsoft Word, Microsoft Excel, Microsoft PowerPoint, E-clinical, Word Processing, Keyboarding, Google docs, Social media.",,,,,,
New York City,19-May,"Benefits Representative
National Income Life -  Long Island City, NY
September 2019 to January 2020","Sole Proprietor's Administrative Assistant
Made Man Barbershop -  New York, NY
February 2019 to September 2019
Support Sole Proprietor with administrative needs, schedule meetings and events, communicate with all level managers, post job openings, maintain personnel records.","Front Desk Receptionist
LLC Brig Company -  Kordai - Kazakhstan
March 2012 to August 2013","Microsoft office, Microsoft Word, Mac, Time management, Teamwork, Leadership, Decision making, Strong Self-Motivation, Multitasking, Intellectually Curious, Customer Service Skills, Scheduling, Receptionist, Data Entry
Organizational Skills Attention to Detail Skills — Highly Proficient
",,,,,"• Conducted an Independent Study Research on “Sex Differences in Personality Traits and social Behavior”  
  
• Event planner club, participant of mathematics competitions, participant of Russian language competitions, participant of athletics competitions, volleyball team player – Konayev Grammar School, Kordai, Kazakhstan","• Member of Society for Human Resource Management   
  
• An active member of volunteer organization, New York Cares (New York, NY)  "
